Does your family have a student eligible for bus service in 2022-2023?,Do you plan on using bus service in 2022-2023?,"As of April 2022, which of these best describes your student/s bus service ? (Select all that apply)","If bus service was not available in 2022-2023, would your student/s need assistance finding alternate transportation options?","Taking the current level of bus service into consideration, which of these two options do you prefer for your student/s and family in 2022-2023?","If the 3-tier plan is adopted, would you have students in your household who are split between the 7:30 and 9:30 tier?",Do you anticipate any challenges finding child care or managing your work schedule if the 3-tier plan is adopted?,How far away from school do the student/s in your family live? Select all that apply.,schools
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,"Bagley,Robert Eagle Staff"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Adams
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles",Daniel Bagley
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Whitman
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Thurgood Marshall
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,Less than 1 mile,Broadview-Thomson
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Kimball
Yes,Yes,"Bus route consistently late, Bus route is NOT running. Forced to use other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,West Woodland
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thorton Creek
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Robert Eagle Staff
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Bryant,Eckstein"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Cedar Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,No,Less than 1 mile,Adams
Yes,Yes,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,"Cedar Park,Ingraham"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,"Less than 1 mile, Greater than 5 miles","Cascadia,Lawton"
Yes,No,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,"Adams,Whitman"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,Hamilton
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Ballard
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Hazel Wolf
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Cascadia,Greek Lake"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"1 to 3 miles, 3 to 5 miles","Ballard,Cascadia"
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,"Cascadia,Loyal Heights"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 3 to 5 miles",Alki
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Olympic Hills
Yes,Yes,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,"Cascadia,Robert Eagle Staff"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Greek Lake
Yes,No,"Bus route is running, but prefer other transportation options.",No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,1 to 3 miles,Daniel Bagley
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Lincoln
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Cedar Park
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles, 3 to 5 miles",Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,McDonald
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Robert Eagle Staff
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Greek Lake
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,John Rogers
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,John Rogers
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles","Thorton Creek,Wedgewood"
Yes,Yes,"Bus route is running, but prefer other transportation options., Bus route is NOT running. Forced to use other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"1 to 3 miles, 3 to 5 miles","Lawton,McClure"
Yes,Yes,Bus route consistently late,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Fairmount Park
Yes,No,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"1 to 3 miles, 3 to 5 miles","Garfield,Stevens,Washington"
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Thorton Creek
Yes,No,"Bus route consistently late, Bus route is running, but prefer other transportation options., Bus route is NOT running. Forced to use other transportation options., Bus route is NOT running. Would not use it even if it were.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Hazel Wolf,Ingraham"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Cedar Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Cedar Park
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,Wedgewood
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,"Lafayette,Summit Atlas"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Fairmount Park
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Decatur, Shorecrest"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Greater than 5 miles,"Cedar Park,Private School"
Yes,Yes,"Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,Robert Eagle Staff
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,"Jane Addams,Nathan Hale"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Magnolia
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Cedar Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Wedgewood
Yes,Yes,"Bus route is running, but prefer other transportation options., Bus route is NOT running. Forced to use other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,"Cascadia,Robert Eagle Staff"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"Less than 1 mile, 1 to 3 miles","Beacon Hill Int'l,Washington"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Stevens
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,"Gatewood,Madison"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Decatur,Thorton Creek"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,"B.F. Day,Hamilton,Lincoln"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Ballard
Yes,No,"Bus route is running, but prefer other transportation options., Bus route is NOT running. Forced to use other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"1 to 3 miles, 3 to 5 miles","Cascadia,Hazel Wolf"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles","Ballard,Whitman,Whittier"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Lawton
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,Madison
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"1 to 3 miles, 3 to 5 miles","Ballard,McClure"
Yes,Yes,Bus route consistently late,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"NOVA,Thurgood Marshall"
Yes,Yes,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles","Cedar Park,Jane Addams"
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,UGH
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Fairmount Park
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Madrona
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Decatur,Sand Point"
Yes,No,"Bus route consistently on-time, Bus route consistently late, Bus route is running, but prefer other transportation options., Bus route is NOT running. Forced to use other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"Less than 1 mile, 1 to 3 miles, 3 to 5 miles","Aki Kurose,Franklin,Garfield,Mercer"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles","Greek Lake,Hamilton"
Yes,No,"Bus route is running, but prefer other transportation options.",Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,McClure
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,"Lafayette,Pathfinder"
Yes,Yes,"Bus route consistently on-time, Bus route consistently late",Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,TOPS
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Concord
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Laurelhurst
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Cedar Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Stevens
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,Cedar Park
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 3 to 5 miles","Jane Addams,Nathan Hale,Thorton Creek"
Yes,Yes,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Cedar Park,Nathan Hale"
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 3 to 5 miles","Decatur,Lincoln"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Cascadia
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Louisa Boren K8
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Lincoln
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles","Adams,Salmon Bay,Whittier"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,3 to 5 miles,"Hamilton,Lincoln"
Yes,Yes,Bus route consistently on-time,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,Arbor Heights
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles","Adams,Whitman"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Orca K8
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Cedar Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Greek Lake
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 3 to 5 miles",Lincoln
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Lawton
Yes,Yes,"Bus route consistently late, Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Cascadia
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,"Broadview-Thomson,TOPS"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Wedgewood
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,"1 to 3 miles, Greater than 5 miles","Jane Addams,Lincoln"
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,Highland Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,B.F. Day
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Ballard,Whitman,Whittier"
Yes,No,"Bus route consistently late, Bus route is NOT running. Would not use it even if it were.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles","Genesee Hill,Madison"
Yes,No,"Bus route is running, but prefer other transportation options., Bus route is NOT running. Forced to use other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Fairmount Park
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Alki
Yes,Yes,"Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Hazel Wolf
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,Less than 1 mile,Arbor Heights
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Alki
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles","Eckstein,Greek Lake"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Fairmount Park
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,"1 to 3 miles, 3 to 5 miles","Ballard,Robert Eagle Staff"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Hazel Wolf
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Montlake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Hazel Wolf
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Genesee Hill
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Madison
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 3 to 5 miles",Thorton Creek
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,B.F. Day
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,Thorton Creek
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Greater than 5 miles,Cedar Park
Yes,No,"Bus route is NOT running. Forced to use other transportation options., Bus route is NOT running. Would not use it even if it were.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Hazel Wolf
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Lincoln
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Thorton Creek
Yes,Yes,Bus route consistently on-time,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Aki Kurose
Yes,No,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thorton Creek
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Hazel Wolf
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,3 to 5 miles,Lafayette
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Fairmount Park,Madison"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Gatewood
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles","Bryant,Eckstein"
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Aki Kurose
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Madison
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Alki
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Hazel Wolf
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Gatewood
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Thorton Creek,UGH"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Cedar Park
Yes,Yes,"Bus route consistently late, Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Madison
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Arbor Heights
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Lincoln
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles","Greenwood,Robert Eagle Staff"
Yes,No,"Bus route consistently late, Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Pathfinder
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,"Decatur,Thorton Creek"
Yes,No,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles","Fairmount Park,Genesee Hill"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Ballard
Yes,No,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Hazel Wolf
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"1 to 3 miles, Greater than 5 miles","Hazel Wolf,Lincoln"
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,Cedar Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Cedar Park
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Greenwood
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,"1 to 3 miles, Greater than 5 miles","Hamilton,Ingraham"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Cedar Park
Yes,Yes,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Viewlands
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,"Broadview-Thomson,Ingraham"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thorton Creek
Yes,Yes,Bus route consistently late,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Greenwood
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Lafayette
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Genesee Hill
Yes,Yes,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"1 to 3 miles, 3 to 5 miles","Lawton,McClure"
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,"Decatur,Jane Addams"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Hazel Wolf
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,Adams
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Gatewood
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,"Ballard,Salmon Bay"
