SchoolName,Normalized Name,Board District,All Students,Female,Gender X,Male,American Indian/ Alaskan Native,Asian,Black/ African American,Hispanic/ Latino of any race(s),Native Hawaiian/ Other Pacific Islander,Two or More Races,White,English Language Learners,Highly Capable,Homeless,Low-Income,Migrant,Military Parent,Mobile,Section 504,Students with Disabilities,"Is District 1,2,3 or 4"
Loyal Heights Elementary School,Loyal Heights,1,470,238,0,232,1,15,6,35,0,48,365,14,14,5,37,0,2,13,3,70,Y
Madison Middle School,Madison,6,"1,023",478,3,542,5,57,47,109,4,138,663,33,185,14,174,0,5,15,38,148,
Madrona K-5 School,Madrona,5,259,123,2,134,0,7,94,26,0,41,91,30,9,33,127,0,0,10,0,26,
Magnolia Elementary School,Magnolia,4,288,140,1,147,0,21,11,39,1,29,187,24,8,5,32,1,2,11,7,34,Y
Maple Elementary School,Maple,7,490,210,0,280,3,253,20,79,1,57,77,185,4,7,262,0,3,4,0,63,
Martin Luther King Jr. Elementary School,Martin Luther King Jr.,7,308,148,0,160,2,65,155,42,4,25,15,98,1,17,209,0,0,4,0,52,
McClure Middle School,McClure,4,484,224,6,254,1,30,30,64,0,65,294,20,6,18,86,2,3,14,10,89,Y
McDonald International School,McDonald Int'l,2,473,261,1,211,0,29,3,84,0,103,254,81,17,0,10,0,5,5,4,33,Y
McGilvra Elementary School,McGilvra,3,226,116,0,110,0,25,9,26,0,33,133,11,10,3,17,0,2,10,4,24,Y
Mercer International Middle School,Mercer Int'l,7,"1,173",556,2,615,2,429,262,193,2,102,183,215,48,49,694,1,2,8,14,158,
Middle College High School,Middle College HS,1,83,47,1,35,1,12,23,6,1,9,31,5,3,1,32,0,0,2,9,16,Y
Montlake Elementary School,Montlake,3,232,112,0,120,0,24,5,13,0,40,150,8,23,0,13,0,1,3,2,20,Y
Nathan Hale High School,Nathan Hale,1,"1,150",537,7,606,11,119,146,172,4,109,589,104,33,53,368,1,2,36,90,181,Y
North Beach Elementary School,North Beach,1,368,178,0,190,0,15,6,27,3,47,270,17,10,1,32,0,3,12,1,77,Y
Northgate Elementary School,Northgate,1,213,116,0,97,3,12,57,67,1,17,56,63,1,19,156,0,0,5,5,38,Y
Nova High School,Nova,5,227,124,11,92,1,8,19,27,0,27,145,4,11,12,78,1,2,10,39,69,
Olympic Hills Elementary School,Olympic Hills,1,501,244,1,256,3,47,130,113,1,55,152,145,4,31,292,0,1,6,0,78,Y
Olympic View Elementary School,Olympic View,2,397,195,1,201,0,40,70,62,2,38,185,88,7,13,154,0,0,8,2,50,Y
Orca K-8 School,Orca,7,424,220,2,202,0,25,118,45,2,51,183,43,5,21,155,0,3,13,2,39,
Pathfinder K-8 School,Pathfinder,6,492,238,4,250,0,17,16,52,2,68,337,6,10,2,54,0,0,7,10,99,
Private School Services,,0,226,82,1,143,0,30,24,34,0,25,113,4,5,3,28,1,4,6,3,206,
Queen Anne Elementary,Queen Anne,4,229,106,0,123,0,20,3,14,0,29,163,10,8,1,18,0,0,10,8,27,Y
Rainier Beach High School,Rainier Beach,7,781,365,0,416,7,208,335,132,15,50,34,214,1,54,604,1,1,18,12,142,
Rainier View Elementary School,Rainier View,7,241,114,0,127,1,66,94,36,6,19,19,66,2,16,169,0,2,3,1,10,
Rising Star Elementary School,Rising Star,7,382,181,2,199,4,132,142,34,1,39,30,155,0,26,288,0,2,9,1,75,
Robert Eagle Staff Middle School,Eagle Staff,2,769,378,1,390,3,57,71,119,0,84,435,58,208,28,201,8,3,6,32,141,Y
Roosevelt High School,Roosevelt,3,"1,708",832,9,867,4,165,65,123,0,154,"1,197",37,237,19,158,6,2,28,120,161,Y
Roxhill Elementary School,Roxhill,6,277,149,0,128,0,20,92,69,2,34,60,60,2,14,170,1,0,5,0,41,
Sacajawea Elementary School,Sacajawea,2,217,99,1,117,2,10,17,35,0,38,115,23,2,9,54,0,0,4,3,60,Y
Salmon Bay K-8 School,Salmon Bay,4,661,306,4,351,3,28,14,38,0,91,487,19,23,7,63,0,2,5,24,147,Y
Sand Point Elementary,Sand Point,3,230,112,0,118,5,18,38,28,6,36,99,40,1,15,100,1,7,11,0,47,Y
Sanislo Elementary School,Sanislo,6,195,84,2,109,0,32,36,46,1,27,53,64,1,14,107,0,1,3,0,41,
Seattle World School,South Shore,0,277,101,1,175,0,63,54,155,0,0,5,265,0,111,263,26,1,26,0,2,
South Shore PK-8 School,South Lake,7,602,280,0,322,2,108,294,59,4,67,68,118,3,32,388,1,2,17,3,92,
Stephen Decatur Elementary School,Decatur,3,211,102,0,109,0,56,4,8,0,48,95,1,211,1,6,0,0,1,2,15,Y
Stevens Elementary School,Stevens,5,193,96,0,97,0,10,24,20,0,32,107,16,12,9,57,0,0,7,0,31,
The Center School,The Center School,4,251,150,12,89,4,15,8,25,1,21,177,3,20,5,44,0,0,4,22,64,Y
Thornton Creek Elementary School,Thornton Creek,3,574,279,1,294,0,38,13,39,0,92,392,19,10,1,44,0,1,8,9,100,Y
Thurgood Marshall Elementary,Thurgood Marshall,5,457,206,3,248,2,62,116,39,0,81,157,55,176,19,169,0,4,11,3,85,
Tops K-8 School,TOPS,3,485,239,2,244,3,84,63,29,1,91,214,48,9,22,131,0,2,6,15,68,Y
View Ridge Elementary School,View Ridge,3,420,190,0,230,1,74,7,36,1,66,235,23,31,1,37,0,1,13,2,62,Y
Viewlands Elementary School,Viewlands,1,352,187,0,165,2,38,45,50,6,41,170,53,3,13,122,4,4,19,2,51,Y
Washington Middle School,Washington,5,599,283,2,314,1,90,179,70,1,71,187,93,242,40,292,0,2,6,5,79,
Wedgwood Elementary School,Wedgwood,1,410,202,0,208,2,50,10,27,0,78,243,23,21,1,27,0,3,5,0,38,Y
West Seattle Elementary School,West Seattle Elementary,6,415,213,0,202,0,20,301,25,4,29,36,129,3,12,343,0,0,19,1,60,
West Seattle High School,West Seattle High,6,"1,141",547,1,593,7,82,75,123,3,133,718,46,84,9,196,0,8,25,62,145,
West Woodland Elementary School,West Woodland,4,473,238,1,234,0,31,4,30,0,55,353,10,23,5,31,0,0,7,5,78,Y
Whitman Middle School,Whitman,1,663,304,1,358,4,21,30,75,1,80,452,27,30,12,95,0,2,17,36,117,Y
Whittier Elementary School,Whittier,2,417,199,1,217,0,17,4,28,0,66,302,13,14,3,31,0,0,14,11,60,Y
Wing Luke Elementary School,Wing Luke,7,307,153,1,153,0,73,169,18,5,15,27,108,8,14,232,1,3,7,1,40,
